hhidpn,hhidpn_padded,hhid,pn,respondent_type_w8,respondent_type_w9,respondent_type_w10,respondent_type_w11,respondent_type_w12,respondent_type_w13,lb_record_present_w8,who_answered_raw_w8,lb_rtype_raw_w8,lb_eligible_raw_w8,lb_completion_mode_raw_w8,lb_record_present_w9,who_answered_raw_w9,lb_rtype_raw_w9,lb_eligible_raw_w9,lb_completion_mode_raw_w9,lb_record_present_w10,who_answered_raw_w10,lb_rtype_raw_w10,lb_eligible_raw_w10,lb_completion_mode_raw_w10,lb_record_present_w11,who_answered_raw_w11,lb_rtype_raw_w11,lb_eligible_raw_w11,lb_completion_mode_raw_w11,lb_record_present_w12,who_answered_raw_w12,lb_rtype_raw_w12,lb_eligible_raw_w12,lb_completion_mode_raw_w12,lb_record_present_w13,who_answered_raw_w13,lb_rtype_raw_w13,lb_eligible_raw_w13,lb_completion_mode_raw_w13,n_lb_wave_records,n_respondent_type_observed,n_code1_waves,n_code2_waves,first_lb_wave,last_lb_wave
10546010,010546010,010546,010,1,,1,,,,1,1,4,1,1,0,,,,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,2,2,2,0,8,10
10565020,010565020,010565,020,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10568010,010568010,010568,010,,,,,,,1,,4,1,5,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,0,0,0,8,9
10571010,010571010,010571,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10577010,010577010,010577,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10577011,010577011,010577,011,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,1,1,0,8,10
10592010,010592010,010592,010,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
10600010,010600010,010600,010,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
10611010,010611010,010611,010,,,,,,,1,,1,5,,0,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,5,0,0,0,8,13
10645030,010645030,010645,030,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
10645031,010645031,010645,031,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10648010,010648010,010648,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10648020,010648020,010648,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10652010,010652010,010652,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,2,1,5,1,,1,5,,0,,,,,0,,,,,4,1,1,0,8,11
10672030,010672030,010672,030,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
10672031,010672031,010672,031,,,,,,,1,,1,5,,1,,2,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,1,,3,1,5,6,0,0,0,8,13
10696010,010696010,010696,010,,,,,,,0,,,,,1,,4,1,5,1,,1,5,,0,,,,,1,,1,5,,1,,2,1,5,4,0,0,0,9,13
10707010,010707010,010707,010,,1,,,,,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
10707020,010707020,010707,020,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,0,,,,,0,,,,,4,1,1,0,8,11
10708030,010708030,010708,030,,,,,,,0,,,,,1,,2,1,5,1,,1,5,,1,,2,1,5,1,,1,5,,1,,2,1,5,5,0,0,0,9,13
10719020,010719020,010719,020,,,,,,,1,,2,5,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,0,0,0,8,9
10719030,010719030,010719,030,,,,,,,1,,2,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
10740010,010740010,010740,010,,,,,,,1,,1,5,,0,,,,,0,,,,,1,,2,1,5,1,,1,5,,1,,2,1,5,4,0,0,0,8,13
10756010,010756010,010756,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,0,,,,,0,,,,,4,1,1,0,8,11
10756011,010756011,010756,011,,,,,,,1,,1,5,,1,,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,,2,1,5,6,0,0,0,8,13
10769010,010769010,010769,010,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,4,2,2,0,8,11
10769040,010769040,010769,040,1,,,,1,,1,1,4,1,1,1,,1,5,,1,9,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,2,2,0,8,13
10773020,010773020,010773,020,,,,2,,,1,,1,5,,1,3,4,1,4,1,,1,5,,1,2,4,1,1,1,,1,5,,1,3,4,1,4,6,1,0,1,8,13
10773030,010773030,010773,030,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10775020,010775020,010775,020,,,,,,,1,,1,5,,1,,2,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,0,0,0,8,10
10775030,010775030,010775,030,,,,,,,1,,1,5,,1,,2,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,0,0,0,8,10
10776010,010776010,010776,010,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
10781010,010781010,010781,010,,1,,,,,0,,,,,1,1,2,1,1,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,3,1,1,0,9,11
10781040,010781040,010781,040,,1,,,,,0,,,,,1,1,2,1,1,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,3,1,1,0,9,11
10818010,010818010,010818,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10818040,010818040,010818,040,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10822010,010822010,010822,010,,2,,,,,1,,1,5,,1,2,2,1,1,1,,1,5,,1,,2,1,5,1,,1,5,,1,,2,1,5,6,1,0,1,8,13
10822040,010822040,010822,040,,1,,1,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
10893010,010893010,010893,010,,,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,6,0,0,0,8,13
10896010,010896010,010896,010,,,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,2,1,5,1,,1,5,,1,,2,1,5,6,0,0,0,8,13
10902010,010902010,010902,010,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,4,2,2,0,8,11
10917010,010917010,010917,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10929010,010929010,010929,010,,,,,,,0,,,,,0,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,1,0,0,0,10,10
10929040,010929040,010929,040,,,,,,,0,,,,,0,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,3,0,0,0,10,12
10941010,010941010,010941,010,1,,,,,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
10962010,010962010,010962,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10989010,010989010,010989,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10989020,010989020,010989,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10994010,010994010,010994,010,,,2,,,,1,,2,5,,1,,1,5,,1,2,3,1,1,1,,1,5,,0,,,,,0,,,,,4,1,0,1,8,11
11010010,011010010,011010,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,0,,,,,3,1,1,0,8,10
11067020,011067020,011067,020,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,1,,1,5,,6,2,2,0,8,13
11067030,011067030,011067,030,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11071010,011071010,011071,010,1,,1,,2,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,2,3,1,1,1,,1,5,,6,3,2,1,8,13
11071020,011071020,011071,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11074020,011074020,011074,020,,,,,,,1,,1,5,,1,,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,0,0,0,8,10
11141010,011141010,011141,010,1,,2,,,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,6,2,1,1,8,13
11141020,011141020,011141,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11179010,011179010,011179,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11179020,011179020,011179,020,1,,1,,1,,1,1,2,5,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11186010,011186010,011186,010,1,,,,,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
11212010,011212010,011212,010,,,,,1,,1,,4,1,5,1,,1,5,,1,,2,1,5,1,,1,5,,1,1,4,1,1,1,,1,5,,6,1,1,0,8,13
11212011,011212011,011212,011,,,,,,,0,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,1,1,,1,5,,5,0,0,0,9,13
11219010,011219010,011219,010,,,,,,,1,,4,1,5,0,,,,,1,,2,1,5,0,,,,,0,,,,,1,,1,5,,3,0,0,0,8,13
11219011,011219011,011219,011,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,1,5,,1,0,0,0,13,13
11230010,011230010,011230,010,1,,2,,2,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,6,3,1,2,8,13
11248010,011248010,011248,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11253010,011253010,011253,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
11256010,011256010,011256,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11256040,011256040,011256,040,1,,2,,2,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,2,4,1,1,0,,,,,5,3,1,2,8,12
11277010,011277010,011277,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,0,,,,,0,,,,,4,1,1,0,8,11
11323010,011323010,011323,010,,,,,,,1,,2,5,,0,,,,,0,,,,,1,,1,5,,1,,3,1,5,1,,1,5,,4,0,0,0,8,13
11332010,011332010,011332,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
11332020,011332020,011332,020,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
11333020,011333020,011333,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11333030,011333030,011333,030,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,4,2,2,0,8,11
11341010,011341010,011341,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11345010,011345010,011345,010,,,,,,,1,,1,5,,1,,2,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,5,0,0,0,8,12
11345020,011345020,011345,020,,,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,5,0,0,0,8,12
11347020,011347020,011347,020,1,,,,1,,1,1,4,1,1,1,,1,5,,1,9,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,2,2,0,8,13
11347030,011347030,011347,030,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11368010,011368010,011368,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
11368020,011368020,011368,020,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,5,2,2,0,8,12
11377010,011377010,011377,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
11377040,011377040,011377,040,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
11378010,011378010,011378,010,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,1,,1,5,,6,2,2,0,8,13
11378020,011378020,011378,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
11379020,011379020,011379,020,1,,2,,,,1,1,4,1,1,1,,1,5,,1,2,3,1,1,0,,,,,0,,,,,0,,,,,3,2,1,1,8,10
11387020,011387020,011387,020,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,,2,1,5,0,,,,,5,1,1,0,8,12
11423010,011423010,011423,010,,1,,2,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,0,,,,,5,2,1,1,8,12
11466040,011466040,011466,040,,,,,,,1,,1,5,,1,,4,1,1,1,,1,5,,1,3,4,1,4,1,,1,5,,1,,4,1,1,6,0,0,0,8,13
11467010,011467010,011467,010,,2,,,,,1,,1,5,,1,2,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,6,1,0,1,8,13
11477010,011477010,011477,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,4,1,1,0,8,11
11477011,011477011,011477,011,,,,,,,1,,1,5,,0,,,,,1,,1,5,,1,,4,1,1,1,,1,5,,0,,,,,4,0,0,0,8,12
11479010,011479010,011479,010,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
11479040,011479040,011479,040,,2,,,,,1,,1,5,,1,2,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,2,1,0,1,8,9
11506010,011506010,011506,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
