hhidpn,hhidpn_padded,hhid,pn,year,wave,respondent_type,who_answered_raw,lb_rtype_raw,lb_eligible_raw,lb_completion_mode_raw,lb_record_present,source_who_answered_variable
10059030,010059030,010059,030,2010,10,,,4,1,5,1,MLB051
10059030,010059030,010059,030,2012,11,,,1,5,,1,NLB085
10059030,010059030,010059,030,2014,12,,,4,1,5,1,OLB077
10059030,010059030,010059,030,2016,13,,,1,5,,1,PLB077
10063010,010063010,010063,010,2006,8,,,1,5,,1,KLB051
10063010,010063010,010063,010,2010,10,,,1,5,,1,MLB051
10063010,010063010,010063,010,2012,11,1,1,4,1,1,1,NLB085
10063010,010063010,010063,010,2014,12,,,1,5,,1,OLB077
10063010,010063010,010063,010,2016,13,,,2,1,5,1,PLB077
10075020,010075020,010075,020,2006,8,,,1,5,,1,KLB051
10075020,010075020,010075,020,2008,9,2,2,4,1,1,1,LLB051
10075020,010075020,010075,020,2010,10,,,1,5,,1,MLB051
10075020,010075020,010075,020,2012,11,2,2,4,1,1,1,NLB085
10075020,010075020,010075,020,2014,12,,,1,5,,1,OLB077
10075020,010075020,010075,020,2016,13,2,2,4,1,1,1,PLB077
10075030,010075030,010075,030,2006,8,,,1,5,,1,KLB051
10083010,010083010,010083,010,2006,8,,,1,5,,1,KLB051
10083010,010083010,010083,010,2008,9,,,4,1,5,1,LLB051
10083020,010083020,010083,020,2006,8,,,1,5,,1,KLB051
10083020,010083020,010083,020,2008,9,1,1,4,1,1,1,LLB051
10083020,010083020,010083,020,2010,10,,,1,5,,1,MLB051
10083020,010083020,010083,020,2012,11,,,4,1,5,1,NLB085
10097040,010097040,010097,040,2006,8,,,1,5,,1,KLB051
10097040,010097040,010097,040,2008,9,1,1,4,1,1,1,LLB051
10097040,010097040,010097,040,2010,10,,,1,5,,1,MLB051
10097040,010097040,010097,040,2012,11,1,1,4,1,1,1,NLB085
10097040,010097040,010097,040,2014,12,,,1,5,,1,OLB077
10097040,010097040,010097,040,2016,13,1,1,4,1,1,1,PLB077
10099010,010099010,010099,010,2010,10,,,1,5,,1,MLB051
10099010,010099010,010099,010,2014,12,,,1,5,,1,OLB077
10099010,010099010,010099,010,2016,13,2,2,4,1,1,1,PLB077
10106010,010106010,010106,010,2012,11,,,4,1,5,1,NLB085
10106010,010106010,010106,010,2014,12,,,1,5,,1,OLB077
10106010,010106010,010106,010,2016,13,1,1,4,1,1,1,PLB077
10106020,010106020,010106,020,2012,11,,,4,1,5,1,NLB085
10106020,010106020,010106,020,2014,12,,,1,5,,1,OLB077
10106020,010106020,010106,020,2016,13,,,4,1,5,1,PLB077
10109030,010109030,010109,030,2006,8,,,4,1,1,1,KLB051
10109030,010109030,010109,030,2008,9,,,1,5,,1,LLB051
10109030,010109030,010109,030,2010,10,1,1,4,1,1,1,MLB051
10109030,010109030,010109,030,2012,11,,,1,5,,1,NLB085
10109030,010109030,010109,030,2014,12,,,4,1,1,1,OLB077
10109030,010109030,010109,030,2016,13,,,1,5,,1,PLB077
10147010,010147010,010147,010,2006,8,1,1,4,1,1,1,KLB051
10147010,010147010,010147,010,2008,9,,,1,5,,1,LLB051
10147010,010147010,010147,010,2010,10,2,2,4,1,1,1,MLB051
10147010,010147010,010147,010,2012,11,,,1,5,,1,NLB085
10147010,010147010,010147,010,2014,12,2,2,4,1,1,1,OLB077
10147010,010147010,010147,010,2016,13,,,1,5,,1,PLB077
10196010,010196010,010196,010,2006,8,1,1,4,1,1,1,KLB051
10196010,010196010,010196,010,2008,9,,,1,5,,1,LLB051
10196010,010196010,010196,010,2010,10,,,4,1,5,1,MLB051
10196010,010196010,010196,010,2012,11,,,1,5,,1,NLB085
10206010,010206010,010206,010,2006,8,,,1,5,,1,KLB051
10206010,010206010,010206,010,2008,9,1,1,4,1,1,1,LLB051
10206010,010206010,010206,010,2010,10,,,1,5,,1,MLB051
10206010,010206010,010206,010,2012,11,1,1,4,1,1,1,NLB085
10210010,010210010,010210,010,2006,8,,,1,5,,1,KLB051
10210010,010210010,010210,010,2008,9,1,1,4,1,1,1,LLB051
10210020,010210020,010210,020,2006,8,,,1,5,,1,KLB051
10210020,010210020,010210,020,2008,9,2,2,4,1,1,1,LLB051
10210020,010210020,010210,020,2010,10,,,1,5,,1,MLB051
10210020,010210020,010210,020,2012,11,,,4,1,1,1,NLB085
10210020,010210020,010210,020,2014,12,,,1,5,,1,OLB077
10210020,010210020,010210,020,2016,13,,,2,1,5,1,PLB077
10225010,010225010,010225,010,2006,8,1,1,4,1,1,1,KLB051
10225010,010225010,010225,010,2008,9,,,1,5,,1,LLB051
10225010,010225010,010225,010,2010,10,,,4,1,5,1,MLB051
10225010,010225010,010225,010,2012,11,,,1,5,,1,NLB085
10225010,010225010,010225,010,2014,12,,,4,1,5,1,OLB077
10281010,010281010,010281,010,2006,8,,,1,5,,1,KLB051
10281010,010281010,010281,010,2010,10,,,1,5,,1,MLB051
10281010,010281010,010281,010,2012,11,,,4,1,1,1,NLB085
10281010,010281010,010281,010,2014,12,,,1,5,,1,OLB077
10281010,010281010,010281,010,2016,13,,,2,1,5,1,PLB077
10281020,010281020,010281,020,2006,8,,,1,5,,1,KLB051
10281020,010281020,010281,020,2012,11,,,4,1,1,1,NLB085
10281020,010281020,010281,020,2014,12,,,1,5,,1,OLB077
10281020,010281020,010281,020,2016,13,1,1,4,1,1,1,PLB077
10299010,010299010,010299,010,2006,8,,,1,5,,1,KLB051
10299010,010299010,010299,010,2008,9,1,1,2,1,1,1,LLB051
10299010,010299010,010299,010,2010,10,,,1,5,,1,MLB051
10299010,010299010,010299,010,2012,11,,,2,1,5,1,NLB085
10299010,010299010,010299,010,2014,12,,,1,5,,1,OLB077
10299010,010299010,010299,010,2016,13,,,2,1,5,1,PLB077
10299011,010299011,010299,011,2008,9,,,4,1,5,1,LLB051
10299011,010299011,010299,011,2010,10,,,1,5,,1,MLB051
10299011,010299011,010299,011,2012,11,,,2,1,5,1,NLB085
10299011,010299011,010299,011,2014,12,,,1,5,,1,OLB077
10299012,010299012,010299,012,2006,8,,,1,5,,1,KLB051
10299012,010299012,010299,012,2008,9,,,2,1,5,1,LLB051
10299012,010299012,010299,012,2010,10,,,1,5,,1,MLB051
10299012,010299012,010299,012,2012,11,,,2,1,5,1,NLB085
10325020,010325020,010325,020,2012,11,1,1,4,1,1,1,NLB085
10325020,010325020,010325,020,2014,12,,,1,5,,1,OLB077
10325020,010325020,010325,020,2016,13,1,1,4,1,1,1,PLB077
10372010,010372010,010372,010,2006,8,,,1,5,,1,KLB051
10372010,010372010,010372,010,2008,9,1,1,4,1,1,1,LLB051
10372010,010372010,010372,010,2010,10,,,1,5,,1,MLB051
10372010,010372010,010372,010,2012,11,1,1,4,1,1,1,NLB085
10372010,010372010,010372,010,2014,12,,,1,5,,1,OLB077
10372010,010372010,010372,010,2016,13,1,1,4,1,1,1,PLB077
10394010,010394010,010394,010,2006,8,,,1,5,,1,KLB051
10394010,010394010,010394,010,2008,9,1,1,4,1,1,1,LLB051
10394010,010394010,010394,010,2010,10,,,1,5,,1,MLB051
10394010,010394010,010394,010,2012,11,1,1,2,1,1,1,NLB085
10394040,010394040,010394,040,2006,8,,,1,5,,1,KLB051
10394040,010394040,010394,040,2008,9,1,1,4,1,1,1,LLB051
10394040,010394040,010394,040,2010,10,,,1,5,,1,MLB051
10394040,010394040,010394,040,2012,11,1,1,2,1,1,1,NLB085
10395010,010395010,010395,010,2006,8,,,1,5,,1,KLB051
10395010,010395010,010395,010,2008,9,1,1,4,1,1,1,LLB051
10395020,010395020,010395,020,2006,8,,,1,5,,1,KLB051
10395020,010395020,010395,020,2008,9,1,1,4,1,1,1,LLB051
10395020,010395020,010395,020,2010,10,,,1,5,,1,MLB051
10395020,010395020,010395,020,2012,11,1,1,4,1,1,1,NLB085
10395020,010395020,010395,020,2014,12,,,1,5,,1,OLB077
10395020,010395020,010395,020,2016,13,1,1,4,1,1,1,PLB077
10397010,010397010,010397,010,2006,8,,,1,5,,1,KLB051
10397010,010397010,010397,010,2008,9,1,1,4,1,1,1,LLB051
10397010,010397010,010397,010,2010,10,,,1,5,,1,MLB051
10397010,010397010,010397,010,2012,11,1,1,4,1,1,1,NLB085
10397010,010397010,010397,010,2014,12,,,1,5,,1,OLB077
10397010,010397010,010397,010,2016,13,1,1,4,1,1,1,PLB077
10397040,010397040,010397,040,2006,8,,,1,5,,1,KLB051
10397040,010397040,010397,040,2008,9,1,1,4,1,1,1,LLB051
10397040,010397040,010397,040,2010,10,,,1,5,,1,MLB051
10397040,010397040,010397,040,2012,11,1,1,4,1,1,1,NLB085
10404010,010404010,010404,010,2006,8,1,1,4,1,1,1,KLB051
10404010,010404010,010404,010,2008,9,,,1,5,,1,LLB051
10404010,010404010,010404,010,2010,10,1,1,4,1,1,1,MLB051
10404010,010404010,010404,010,2012,11,,,1,5,,1,NLB085
10404010,010404010,010404,010,2014,12,1,1,4,1,1,1,OLB077
10404010,010404010,010404,010,2016,13,,,1,5,,1,PLB077
10433010,010433010,010433,010,2006,8,,,1,5,,1,KLB051
10433010,010433010,010433,010,2008,9,1,1,2,1,1,1,LLB051
10433010,010433010,010433,010,2010,10,,,1,5,,1,MLB051
10433010,010433010,010433,010,2012,11,,,2,1,1,1,NLB085
10433010,010433010,010433,010,2014,12,,,1,5,,1,OLB077
10433010,010433010,010433,010,2016,13,,,2,1,5,1,PLB077
10451010,010451010,010451,010,2006,8,1,1,4,1,1,1,KLB051
10451010,010451010,010451,010,2008,9,,,1,5,,1,LLB051
10451010,010451010,010451,010,2010,10,1,1,4,1,1,1,MLB051
10451010,010451010,010451,010,2012,11,,,1,5,,1,NLB085
10451010,010451010,010451,010,2014,12,1,1,4,1,1,1,OLB077
10451010,010451010,010451,010,2016,13,,,1,5,,1,PLB077
10451020,010451020,010451,020,2006,8,1,1,4,1,1,1,KLB051
10451020,010451020,010451,020,2008,9,,,1,5,,1,LLB051
10451020,010451020,010451,020,2010,10,2,2,4,1,1,1,MLB051
10451020,010451020,010451,020,2012,11,,,1,5,,1,NLB085
10451020,010451020,010451,020,2014,12,1,1,4,1,1,1,OLB077
10451020,010451020,010451,020,2016,13,,,1,5,,1,PLB077
10453010,010453010,010453,010,2006,8,1,1,4,1,1,1,KLB051
10453010,010453010,010453,010,2008,9,,,1,5,,1,LLB051
10453010,010453010,010453,010,2010,10,1,1,4,1,1,1,MLB051
10453010,010453010,010453,010,2012,11,,,1,5,,1,NLB085
10453010,010453010,010453,010,2014,12,1,1,4,1,1,1,OLB077
10453010,010453010,010453,010,2016,13,,,1,5,,1,PLB077
10453020,010453020,010453,020,2006,8,1,1,4,1,1,1,KLB051
10453020,010453020,010453,020,2008,9,,,1,5,,1,LLB051
10453020,010453020,010453,020,2010,10,1,1,4,1,1,1,MLB051
10453020,010453020,010453,020,2012,11,,,1,5,,1,NLB085
10453020,010453020,010453,020,2014,12,,,4,1,1,1,OLB077
10453020,010453020,010453,020,2016,13,,,1,5,,1,PLB077
10458020,010458020,010458,020,2006,8,1,1,4,1,1,1,KLB051
10458020,010458020,010458,020,2012,11,,,1,5,,1,NLB085
10458020,010458020,010458,020,2014,12,1,1,4,1,1,1,OLB077
10458020,010458020,010458,020,2016,13,,,1,5,,1,PLB077
10458030,010458030,010458,030,2006,8,1,1,4,1,1,1,KLB051
10458030,010458030,010458,030,2012,11,,,1,5,,1,NLB085
10458030,010458030,010458,030,2014,12,1,1,4,1,1,1,OLB077
10458030,010458030,010458,030,2016,13,,,1,5,,1,PLB077
10465010,010465010,010465,010,2006,8,,,4,1,5,1,KLB051
10475010,010475010,010475,010,2006,8,,,1,5,,1,KLB051
10475010,010475010,010475,010,2008,9,1,1,4,1,1,1,LLB051
10475010,010475010,010475,010,2010,10,,,1,5,,1,MLB051
10475010,010475010,010475,010,2012,11,1,1,4,1,1,1,NLB085
10475010,010475010,010475,010,2014,12,,,1,5,,1,OLB077
10475010,010475010,010475,010,2016,13,,,2,1,5,1,PLB077
10475011,010475011,010475,011,2006,8,,,1,5,,1,KLB051
10475011,010475011,010475,011,2008,9,1,1,4,1,1,1,LLB051
10475011,010475011,010475,011,2010,10,,,1,5,,1,MLB051
10475011,010475011,010475,011,2012,11,1,1,4,1,1,1,NLB085
10477010,010477010,010477,010,2006,8,,,1,5,,1,KLB051
10477010,010477010,010477,010,2008,9,1,1,4,1,1,1,LLB051
10477010,010477010,010477,010,2010,10,,,1,5,,1,MLB051
10477010,010477010,010477,010,2012,11,,,4,1,1,1,NLB085
10477010,010477010,010477,010,2014,12,,,1,5,,1,OLB077
10477010,010477010,010477,010,2016,13,1,1,4,1,1,1,PLB077
10477020,010477020,010477,020,2006,8,,,1,5,,1,KLB051
10477020,010477020,010477,020,2008,9,2,2,4,1,1,1,LLB051
10477020,010477020,010477,020,2010,10,,,1,5,,1,MLB051
10477020,010477020,010477,020,2012,11,,,4,1,1,1,NLB085
10477020,010477020,010477,020,2014,12,,,1,5,,1,OLB077
10477020,010477020,010477,020,2016,13,2,2,4,1,1,1,PLB077
10481010,010481010,010481,010,2006,8,1,1,4,1,1,1,KLB051
10481010,010481010,010481,010,2008,9,,,1,5,,1,LLB051
10481010,010481010,010481,010,2010,10,1,1,4,1,1,1,MLB051
10481010,010481010,010481,010,2012,11,,,1,5,,1,NLB085
10481010,010481010,010481,010,2014,12,1,1,4,1,1,1,OLB077
10481010,010481010,010481,010,2016,13,,,1,5,,1,PLB077
10481020,010481020,010481,020,2006,8,1,1,4,1,1,1,KLB051
10481020,010481020,010481,020,2008,9,,,1,5,,1,LLB051
10481020,010481020,010481,020,2010,10,1,1,4,1,1,1,MLB051
10481020,010481020,010481,020,2012,11,,,1,5,,1,NLB085
10481020,010481020,010481,020,2014,12,1,1,4,1,1,1,OLB077
10481020,010481020,010481,020,2016,13,,,1,5,,1,PLB077
10482010,010482010,010482,010,2006,8,,,4,1,5,1,KLB051
10482010,010482010,010482,010,2008,9,,,1,5,,1,LLB051
10482010,010482010,010482,010,2010,10,,,4,1,5,1,MLB051
10482010,010482010,010482,010,2012,11,,,1,5,,1,NLB085
10482010,010482010,010482,010,2014,12,,,4,1,5,1,OLB077
10533010,010533010,010533,010,2006,8,,,1,5,,1,KLB051
10533010,010533010,010533,010,2008,9,1,1,4,1,1,1,LLB051
10533010,010533010,010533,010,2010,10,,,1,5,,1,MLB051
10533011,010533011,010533,011,2006,8,,,1,5,,1,KLB051
10533011,010533011,010533,011,2008,9,,,4,1,5,1,LLB051
10533011,010533011,010533,011,2010,10,,,1,5,,1,MLB051
10533011,010533011,010533,011,2012,11,,,4,1,1,1,NLB085
10533011,010533011,010533,011,2014,12,,,1,5,,1,OLB077
10533011,010533011,010533,011,2016,13,,,2,1,5,1,PLB077
10537010,010537010,010537,010,2006,8,1,1,4,1,1,1,KLB051
10537010,010537010,010537,010,2008,9,,,1,5,,1,LLB051
10537010,010537010,010537,010,2010,10,,,4,1,5,1,MLB051
10537010,010537010,010537,010,2012,11,,,1,5,,1,NLB085
10537010,010537010,010537,010,2014,12,,,4,1,5,1,OLB077
10537010,010537010,010537,010,2016,13,,,1,5,,1,PLB077
10537011,010537011,010537,011,2008,9,,,1,5,,1,LLB051
10537011,010537011,010537,011,2010,10,1,1,4,1,1,1,MLB051
10537011,010537011,010537,011,2012,11,,,1,5,,1,NLB085
10537011,010537011,010537,011,2014,12,,,4,1,5,1,OLB077
10537011,010537011,010537,011,2016,13,,,1,5,,1,PLB077
10546010,010546010,010546,010,2006,8,1,1,4,1,1,1,KLB051
10546010,010546010,010546,010,2010,10,1,1,4,1,1,1,MLB051
10565020,010565020,010565,020,2006,8,,,1,5,,1,KLB051
10565020,010565020,010565,020,2008,9,1,1,4,1,1,1,LLB051
10565020,010565020,010565,020,2010,10,,,1,5,,1,MLB051
10565020,010565020,010565,020,2012,11,1,1,4,1,1,1,NLB085
10565020,010565020,010565,020,2014,12,,,1,5,,1,OLB077
10565020,010565020,010565,020,2016,13,1,1,4,1,1,1,PLB077
10568010,010568010,010568,010,2006,8,,,4,1,5,1,KLB051
10568010,010568010,010568,010,2008,9,,,1,5,,1,LLB051
10571010,010571010,010571,010,2006,8,1,1,4,1,1,1,KLB051
10571010,010571010,010571,010,2008,9,,,1,5,,1,LLB051
10571010,010571010,010571,010,2010,10,1,1,4,1,1,1,MLB051
10571010,010571010,010571,010,2012,11,,,1,5,,1,NLB085
10571010,010571010,010571,010,2014,12,1,1,4,1,1,1,OLB077
10571010,010571010,010571,010,2016,13,,,1,5,,1,PLB077
10577010,010577010,010577,010,2006,8,,,1,5,,1,KLB051
10577010,010577010,010577,010,2008,9,1,1,4,1,1,1,LLB051
10577010,010577010,010577,010,2010,10,,,1,5,,1,MLB051
10577010,010577010,010577,010,2012,11,1,1,4,1,1,1,NLB085
10577010,010577010,010577,010,2014,12,,,1,5,,1,OLB077
10577010,010577010,010577,010,2016,13,1,1,4,1,1,1,PLB077
10577011,010577011,010577,011,2006,8,,,1,5,,1,KLB051
10577011,010577011,010577,011,2008,9,1,1,4,1,1,1,LLB051
10577011,010577011,010577,011,2010,10,,,1,5,,1,MLB051
10592010,010592010,010592,010,2006,8,,,1,5,,1,KLB051
10592010,010592010,010592,010,2008,9,1,1,4,1,1,1,LLB051
10592010,010592010,010592,010,2010,10,,,1,5,,1,MLB051
10592010,010592010,010592,010,2012,11,,,4,1,1,1,NLB085
10592010,010592010,010592,010,2014,12,,,1,5,,1,OLB077
10592010,010592010,010592,010,2016,13,1,1,4,1,1,1,PLB077
10600010,010600010,010600,010,2006,8,,,1,5,,1,KLB051
10611010,010611010,010611,010,2006,8,,,1,5,,1,KLB051
10611010,010611010,010611,010,2010,10,,,1,5,,1,MLB051
10611010,010611010,010611,010,2012,11,,,4,1,5,1,NLB085
10611010,010611010,010611,010,2014,12,,,1,5,,1,OLB077
10611010,010611010,010611,010,2016,13,,,4,1,5,1,PLB077
10645030,010645030,010645,030,2006,8,,,1,5,,1,KLB051
10645031,010645031,010645,031,2006,8,,,1,5,,1,KLB051
10645031,010645031,010645,031,2008,9,1,1,4,1,1,1,LLB051
10645031,010645031,010645,031,2010,10,,,1,5,,1,MLB051
10645031,010645031,010645,031,2012,11,1,1,4,1,1,1,NLB085
10645031,010645031,010645,031,2014,12,,,1,5,,1,OLB077
10645031,010645031,010645,031,2016,13,1,1,4,1,1,1,PLB077
10648010,010648010,010648,010,2006,8,1,1,4,1,1,1,KLB051
10648010,010648010,010648,010,2008,9,,,1,5,,1,LLB051
10648010,010648010,010648,010,2010,10,1,1,4,1,1,1,MLB051
10648010,010648010,010648,010,2012,11,,,1,5,,1,NLB085
10648010,010648010,010648,010,2014,12,1,1,4,1,1,1,OLB077
10648010,010648010,010648,010,2016,13,,,1,5,,1,PLB077
10648020,010648020,010648,020,2006,8,1,1,4,1,1,1,KLB051
10648020,010648020,010648,020,2008,9,,,1,5,,1,LLB051
10648020,010648020,010648,020,2010,10,1,1,4,1,1,1,MLB051
10648020,010648020,010648,020,2012,11,,,1,5,,1,NLB085
10648020,010648020,010648,020,2014,12,1,1,4,1,1,1,OLB077
10648020,010648020,010648,020,2016,13,,,1,5,,1,PLB077
10652010,010652010,010652,010,2006,8,1,1,4,1,1,1,KLB051
10652010,010652010,010652,010,2008,9,,,1,5,,1,LLB051
10652010,010652010,010652,010,2010,10,,,2,1,5,1,MLB051
10652010,010652010,010652,010,2012,11,,,1,5,,1,NLB085
10672030,010672030,010672,030,2006,8,,,1,5,,1,KLB051
10672031,010672031,010672,031,2006,8,,,1,5,,1,KLB051
10672031,010672031,010672,031,2008,9,,,2,1,5,1,LLB051
10672031,010672031,010672,031,2010,10,,,1,5,,1,MLB051
10672031,010672031,010672,031,2012,11,,,4,1,5,1,NLB085
10672031,010672031,010672,031,2014,12,,,1,5,,1,OLB077
10672031,010672031,010672,031,2016,13,,,3,1,5,1,PLB077
10696010,010696010,010696,010,2008,9,,,4,1,5,1,LLB051
10696010,010696010,010696,010,2010,10,,,1,5,,1,MLB051
10696010,010696010,010696,010,2014,12,,,1,5,,1,OLB077
10696010,010696010,010696,010,2016,13,,,2,1,5,1,PLB077
10707010,010707010,010707,010,2006,8,,,1,5,,1,KLB051
10707010,010707010,010707,010,2008,9,1,1,4,1,1,1,LLB051
10707020,010707020,010707,020,2006,8,,,1,5,,1,KLB051
10707020,010707020,010707,020,2008,9,1,1,4,1,1,1,LLB051
10707020,010707020,010707,020,2010,10,,,1,5,,1,MLB051
10707020,010707020,010707,020,2012,11,,,2,1,5,1,NLB085
10708030,010708030,010708,030,2008,9,,,2,1,5,1,LLB051
10708030,010708030,010708,030,2010,10,,,1,5,,1,MLB051
10708030,010708030,010708,030,2012,11,,,2,1,5,1,NLB085
10708030,010708030,010708,030,2014,12,,,1,5,,1,OLB077
10708030,010708030,010708,030,2016,13,,,2,1,5,1,PLB077
10719020,010719020,010719,020,2006,8,,,2,5,,1,KLB051
10719020,010719020,010719,020,2008,9,,,1,5,,1,LLB051
10719030,010719030,010719,030,2006,8,,,2,5,,1,KLB051
10740010,010740010,010740,010,2006,8,,,1,5,,1,KLB051
10740010,010740010,010740,010,2012,11,,,2,1,5,1,NLB085
10740010,010740010,010740,010,2014,12,,,1,5,,1,OLB077
10740010,010740010,010740,010,2016,13,,,2,1,5,1,PLB077
10756010,010756010,010756,010,2006,8,,,1,5,,1,KLB051
10756010,010756010,010756,010,2008,9,1,1,4,1,1,1,LLB051
10756010,010756010,010756,010,2010,10,,,1,5,,1,MLB051
10756010,010756010,010756,010,2012,11,,,4,1,1,1,NLB085
10756011,010756011,010756,011,2006,8,,,1,5,,1,KLB051
10756011,010756011,010756,011,2008,9,,,4,1,1,1,LLB051
10756011,010756011,010756,011,2010,10,,,1,5,,1,MLB051
10756011,010756011,010756,011,2012,11,,,4,1,1,1,NLB085
10756011,010756011,010756,011,2014,12,,,1,5,,1,OLB077
10756011,010756011,010756,011,2016,13,,,2,1,5,1,PLB077
10769010,010769010,010769,010,2006,8,1,1,4,1,1,1,KLB051
10769010,010769010,010769,010,2008,9,,,1,5,,1,LLB051
10769010,010769010,010769,010,2010,10,1,1,4,1,1,1,MLB051
10769010,010769010,010769,010,2012,11,,,1,5,,1,NLB085
10769040,010769040,010769,040,2006,8,1,1,4,1,1,1,KLB051
10769040,010769040,010769,040,2008,9,,,1,5,,1,LLB051
10769040,010769040,010769,040,2010,10,,9,4,1,1,1,MLB051
10769040,010769040,010769,040,2012,11,,,1,5,,1,NLB085
10769040,010769040,010769,040,2014,12,1,1,4,1,1,1,OLB077
10769040,010769040,010769,040,2016,13,,,1,5,,1,PLB077
10773020,010773020,010773,020,2006,8,,,1,5,,1,KLB051
10773020,010773020,010773,020,2008,9,,3,4,1,4,1,LLB051
10773020,010773020,010773,020,2010,10,,,1,5,,1,MLB051
10773020,010773020,010773,020,2012,11,2,2,4,1,1,1,NLB085
10773020,010773020,010773,020,2014,12,,,1,5,,1,OLB077
10773020,010773020,010773,020,2016,13,,3,4,1,4,1,PLB077
10773030,010773030,010773,030,2006,8,,,1,5,,1,KLB051
10773030,010773030,010773,030,2008,9,1,1,4,1,1,1,LLB051
