cohort,timepoint,wave,year,relationship,modality,analysis_score,count,percent_among_nonmissing_analysis_scores
A,T1,8,2006,other_relatives,written_email,4,281,7.871148459383753
A,T1,8,2006,other_relatives,written_email,5,112,3.1372549019607843
A,T1,8,2006,friends,inperson,0,374,9.646633995357234
A,T1,8,2006,friends,inperson,1,227,5.855042558679392
A,T1,8,2006,friends,inperson,2,487,12.561258705184422
A,T1,8,2006,friends,inperson,3,978,25.22568996646892
A,T1,8,2006,friends,inperson,4,1283,33.09259736909982
A,T1,8,2006,friends,inperson,5,528,13.618777405210214
A,T1,8,2006,friends,phone,0,342,8.823529411764707
A,T1,8,2006,friends,phone,1,108,2.7863777089783284
A,T1,8,2006,friends,phone,2,370,9.54592363261094
A,T1,8,2006,friends,phone,3,900,23.21981424148607
A,T1,8,2006,friends,phone,4,1348,34.7781217750258
A,T1,8,2006,friends,phone,5,808,20.84623323013416
A,T1,8,2006,friends,written_email,0,2000,56.657223796033996
A,T1,8,2006,friends,written_email,1,298,8.441926345609065
A,T1,8,2006,friends,written_email,2,285,8.073654390934845
A,T1,8,2006,friends,written_email,3,398,11.274787535410765
A,T1,8,2006,friends,written_email,4,362,10.254957507082153
A,T1,8,2006,friends,written_email,5,187,5.2974504249291785
A,T2,10,2010,children,inperson,0,217,5.973025048169557
A,T2,10,2010,children,inperson,1,439,12.083677401596477
A,T2,10,2010,children,inperson,2,607,16.707954858243877
A,T2,10,2010,children,inperson,3,843,23.203963666391413
A,T2,10,2010,children,inperson,4,962,26.479493531516653
A,T2,10,2010,children,inperson,5,565,15.551885494082025
A,T2,10,2010,children,phone,0,65,1.7586580086580086
A,T2,10,2010,children,phone,1,44,1.1904761904761905
A,T2,10,2010,children,phone,2,160,4.329004329004329
A,T2,10,2010,children,phone,3,553,14.962121212121213
A,T2,10,2010,children,phone,4,1245,33.685064935064936
A,T2,10,2010,children,phone,5,1629,44.074675324675326
A,T2,10,2010,children,written_email,0,1503,43.451864700780575
A,T2,10,2010,children,written_email,1,293,8.470656259034403
A,T2,10,2010,children,written_email,2,384,11.101474414570685
A,T2,10,2010,children,written_email,3,537,15.524718126626192
A,T2,10,2010,children,written_email,4,457,13.211910956923967
A,T2,10,2010,children,written_email,5,285,8.239375542064181
A,T2,10,2010,other_relatives,inperson,0,820,20.582329317269075
A,T2,10,2010,other_relatives,inperson,1,721,18.097389558232933
A,T2,10,2010,other_relatives,inperson,2,735,18.448795180722893
A,T2,10,2010,other_relatives,inperson,3,806,20.230923694779115
A,T2,10,2010,other_relatives,inperson,4,618,15.512048192771084
A,T2,10,2010,other_relatives,inperson,5,284,7.128514056224899
A,T2,10,2010,other_relatives,phone,0,451,11.2300796812749
A,T2,10,2010,other_relatives,phone,1,211,5.25398406374502
A,T2,10,2010,other_relatives,phone,2,571,14.21812749003984
A,T2,10,2010,other_relatives,phone,3,937,23.33167330677291
A,T2,10,2010,other_relatives,phone,4,992,24.701195219123505
A,T2,10,2010,other_relatives,phone,5,854,21.264940239043824
A,T2,10,2010,other_relatives,written_email,0,2074,54.39286650931025
A,T2,10,2010,other_relatives,written_email,1,397,10.41174927878311
A,T2,10,2010,other_relatives,written_email,2,391,10.25439286650931
A,T2,10,2010,other_relatives,written_email,3,501,13.139260424862313
A,T2,10,2010,other_relatives,written_email,4,289,7.579333857854707
A,T2,10,2010,other_relatives,written_email,5,161,4.2223970626803045
A,T2,10,2010,friends,inperson,0,468,11.7
A,T2,10,2010,friends,inperson,1,246,6.15
A,T2,10,2010,friends,inperson,2,520,13.0
A,T2,10,2010,friends,inperson,3,1010,25.25
A,T2,10,2010,friends,inperson,4,1211,30.275
A,T2,10,2010,friends,inperson,5,545,13.625
A,T2,10,2010,friends,phone,0,405,10.084661354581673
A,T2,10,2010,friends,phone,1,154,3.8346613545816735
A,T2,10,2010,friends,phone,2,388,9.661354581673306
A,T2,10,2010,friends,phone,3,929,23.132470119521912
A,T2,10,2010,friends,phone,4,1264,31.47410358565737
A,T2,10,2010,friends,phone,5,876,21.812749003984063
A,T2,10,2010,friends,written_email,0,2092,55.067122927086075
A,T2,10,2010,friends,written_email,1,313,8.239010265859436
A,T2,10,2010,friends,written_email,2,297,7.817846801789945
A,T2,10,2010,friends,written_email,3,413,10.871281916293762
A,T2,10,2010,friends,written_email,4,423,11.134509081337194
A,T2,10,2010,friends,written_email,5,261,6.870229007633588
B,T1,9,2008,children,inperson,0,173,5.34610630407911
B,T1,9,2008,children,inperson,1,350,10.815822002472189
B,T1,9,2008,children,inperson,2,538,16.62546353522868
B,T1,9,2008,children,inperson,3,808,24.969097651421507
B,T1,9,2008,children,inperson,4,869,26.854140914709518
B,T1,9,2008,children,inperson,5,498,15.389369592088999
B,T1,9,2008,children,phone,0,49,1.4975550122249388
B,T1,9,2008,children,phone,1,27,0.8251833740831296
B,T1,9,2008,children,phone,2,97,2.9645476772616135
B,T1,9,2008,children,phone,3,494,15.097799511002444
B,T1,9,2008,children,phone,4,1189,36.33863080684596
B,T1,9,2008,children,phone,5,1416,43.27628361858191
B,T1,9,2008,children,written_email,0,1316,42.41057041572672
B,T1,9,2008,children,written_email,1,299,9.635836287463745
B,T1,9,2008,children,written_email,2,305,9.829197550757332
B,T1,9,2008,children,written_email,3,505,16.274572993876895
B,T1,9,2008,children,written_email,4,411,13.245246535610699
B,T1,9,2008,children,written_email,5,267,8.604576216564615
B,T1,9,2008,other_relatives,inperson,0,696,19.84602224123182
B,T1,9,2008,other_relatives,inperson,1,695,19.81750784145994
B,T1,9,2008,other_relatives,inperson,2,610,17.39378386084973
B,T1,9,2008,other_relatives,inperson,3,710,20.24522383803821
B,T1,9,2008,other_relatives,inperson,4,539,15.369261477045908
B,T1,9,2008,other_relatives,inperson,5,257,7.328200741374394
B,T1,9,2008,other_relatives,phone,0,346,9.787835926449787
B,T1,9,2008,other_relatives,phone,1,191,5.403111739745403
B,T1,9,2008,other_relatives,phone,2,473,13.38048090523338
B,T1,9,2008,other_relatives,phone,3,893,25.26166902404526
B,T1,9,2008,other_relatives,phone,4,898,25.403111739745402
B,T1,9,2008,other_relatives,phone,5,734,20.763790664780764
B,T1,9,2008,other_relatives,written_email,0,1761,52.16232227488152
B,T1,9,2008,other_relatives,written_email,1,382,11.315165876777252
B,T1,9,2008,other_relatives,written_email,2,407,12.05568720379147
B,T1,9,2008,other_relatives,written_email,3,434,12.855450236966824
B,T1,9,2008,other_relatives,written_email,4,257,7.612559241706161
B,T1,9,2008,other_relatives,written_email,5,135,3.998815165876777
B,T1,9,2008,friends,inperson,0,356,10.016882386043894
B,T1,9,2008,friends,inperson,1,225,6.330894766460326
B,T1,9,2008,friends,inperson,2,432,12.155317951603827
B,T1,9,2008,friends,inperson,3,913,25.689364096792346
B,T1,9,2008,friends,inperson,4,1140,32.07653348339899
B,T1,9,2008,friends,inperson,5,488,13.73100731570062
B,T1,9,2008,friends,phone,0,288,8.096710711273545
B,T1,9,2008,friends,phone,1,123,3.45797019960641
B,T1,9,2008,friends,phone,2,324,9.108799550182738
B,T1,9,2008,friends,phone,3,884,24.85240371099241
B,T1,9,2008,friends,phone,4,1116,31.374754006184986
B,T1,9,2008,friends,phone,5,822,23.10936182175991
B,T1,9,2008,friends,written_email,0,1786,53.23397913561848
B,T1,9,2008,friends,written_email,1,273,8.137108792846497
B,T1,9,2008,friends,written_email,2,268,7.988077496274218
B,T1,9,2008,friends,written_email,3,416,12.39940387481371
B,T1,9,2008,friends,written_email,4,382,11.385991058122206
B,T1,9,2008,friends,written_email,5,230,6.855439642324888
B,T2,11,2012,children,inperson,0,243,7.488443759630201
B,T2,11,2012,children,inperson,1,335,10.323574730354391
B,T2,11,2012,children,inperson,2,543,16.733436055469955
B,T2,11,2012,children,inperson,3,790,24.345146379044685
B,T2,11,2012,children,inperson,4,849,26.1633281972265
B,T2,11,2012,children,inperson,5,485,14.946070878274268
B,T2,11,2012,children,phone,0,77,2.3368740515933233
B,T2,11,2012,children,phone,1,37,1.1229135053110775
B,T2,11,2012,children,phone,2,123,3.7329286798179058
B,T2,11,2012,children,phone,3,473,14.355083459787556
B,T2,11,2012,children,phone,4,1182,35.87253414264036
B,T2,11,2012,children,phone,5,1403,42.579666160849776
B,T2,11,2012,children,written_email,0,1448,45.85180493983534
B,T2,11,2012,children,written_email,1,250,7.916402786573781
B,T2,11,2012,children,written_email,2,293,9.278024065864471
B,T2,11,2012,children,written_email,3,486,15.38948701709943
B,T2,11,2012,children,written_email,4,434,13.742875237492084
B,T2,11,2012,children,written_email,5,247,7.821405953134896
B,T2,11,2012,other_relatives,inperson,0,778,21.958791984194185
B,T2,11,2012,other_relatives,inperson,1,664,18.741179791137455
B,T2,11,2012,other_relatives,inperson,2,624,17.612193056731584
B,T2,11,2012,other_relatives,inperson,3,674,19.023426474738923
B,T2,11,2012,other_relatives,inperson,4,543,15.325994919559696
B,T2,11,2012,other_relatives,inperson,5,260,7.33841377363816
B,T2,11,2012,other_relatives,phone,0,440,12.314581584102994
B,T2,11,2012,other_relatives,phone,1,182,5.0937587461516936
B,T2,11,2012,other_relatives,phone,2,485,13.57402742793171
B,T2,11,2012,other_relatives,phone,3,810,22.670025188916878
B,T2,11,2012,other_relatives,phone,4,889,24.88105233697173
B,T2,11,2012,other_relatives,phone,5,767,21.466554715924993
B,T2,11,2012,other_relatives,written_email,0,1915,55.203228596137215
B,T2,11,2012,other_relatives,written_email,1,362,10.435283943499568
B,T2,11,2012,other_relatives,written_email,2,360,10.377630441049293
B,T2,11,2012,other_relatives,written_email,3,407,11.73248774863073
B,T2,11,2012,other_relatives,written_email,4,278,8.013836840588066
B,T2,11,2012,other_relatives,written_email,5,147,4.237532430095128
B,T2,11,2012,friends,inperson,0,482,13.673758865248226
B,T2,11,2012,friends,inperson,1,223,6.326241134751773
B,T2,11,2012,friends,inperson,2,441,12.51063829787234
B,T2,11,2012,friends,inperson,3,856,24.28368794326241
B,T2,11,2012,friends,inperson,4,1066,30.24113475177305
B,T2,11,2012,friends,inperson,5,457,12.964539007092199
B,T2,11,2012,friends,phone,0,404,11.412429378531073
B,T2,11,2012,friends,phone,1,115,3.248587570621469
B,T2,11,2012,friends,phone,2,326,9.209039548022599
B,T2,11,2012,friends,phone,3,829,23.418079096045197
B,T2,11,2012,friends,phone,4,1107,31.271186440677965
B,T2,11,2012,friends,phone,5,759,21.440677966101696
B,T2,11,2012,friends,written_email,0,1912,55.64610011641444
B,T2,11,2012,friends,written_email,1,250,7.275902211874272
B,T2,11,2012,friends,written_email,2,242,7.043073341094296
B,T2,11,2012,friends,written_email,3,410,11.932479627473807
B,T2,11,2012,friends,written_email,4,394,11.466821885913854
B,T2,11,2012,friends,written_email,5,228,6.635622817229336

COLUMN_EXPLANATION_START,column_name,meaning,interpretation,,,,,
COLUMN_EXPLANATION,cohort,Cohort.,A or B.,,,,,
COLUMN_EXPLANATION,timepoint,Cohort analysis timepoint.,T1 or T2.,,,,,
COLUMN_EXPLANATION,wave,HRS wave number.,"8, 9, 10, or 11.",,,,,
COLUMN_EXPLANATION,year,Calendar year.,"2006, 2008, 2010, or 2012.",,,,,
COLUMN_EXPLANATION,relationship,Relationship domain.,"children, other_relatives, or friends.",,,,,
COLUMN_EXPLANATION,modality,Contact method.,"inperson, phone, or written_email.",,,,,
COLUMN_EXPLANATION,analysis_score,Derived reverse-coded contact-frequency score.,0=less than once/year or never; 5=three or more times/week.,,,,,
COLUMN_EXPLANATION,count,Number of participants with this nonmissing analysis score.,Frequency of the actual 0-5 variable used downstream.,,,,,
COLUMN_EXPLANATION,percent_among_nonmissing_analysis_scores,Percent among all nonmissing derived analysis scores in this cell.,Describes the distribution of the variable entering later analyses.,,,,,
COLUMN_EXPLANATION_END,,,,,,,,
