hhidpn_key,wave,year,children_has_group_raw,children_inperson_raw,children_inperson_freqscore,children_phone_raw,children_phone_freqscore,children_written_email_raw,children_written_email_freqscore,other_relatives_has_group_raw,other_relatives_inperson_raw,other_relatives_inperson_freqscore,other_relatives_phone_raw,other_relatives_phone_freqscore,other_relatives_written_email_raw,other_relatives_written_email_freqscore,friends_has_group_raw,friends_inperson_raw,friends_inperson_freqscore,friends_phone_raw,friends_phone_freqscore,friends_written_email_raw,friends_written_email_freqscore
11071010,8,2006,1.0,2.0,4.0,1.0,5.0,6.0,0.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
11071020,8,2006,1.0,5.0,1.0,3.0,3.0,6.0,0.0,1.0,3.0,3.0,3.0,3.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0
11074020,8,2006,,,,,,,,,,,,,,,,,,,,,
11141010,8,2006,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,5.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,4.0
11141020,8,2006,1.0,5.0,1.0,4.0,2.0,3.0,3.0,1.0,6.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0
11179010,8,2006,1.0,5.0,1.0,2.0,4.0,3.0,3.0,1.0,5.0,1.0,2.0,4.0,2.0,4.0,1.0,6.0,0.0,4.0,2.0,6.0,0.0
11179020,8,2006,1.0,5.0,1.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0
11186010,8,2006,1.0,6.0,0.0,1.0,5.0,6.0,0.0,1.0,6.0,0.0,1.0,5.0,6.0,0.0,1.0,6.0,0.0,1.0,5.0,6.0,0.0
11212010,8,2006,,,,,,,,,,,,,,,,,,,,,
11219010,8,2006,,,,,,,,,,,,,,,,,,,,,
11230010,8,2006,5.0,6.0,,1.0,,6.0,,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,3.0,3.0,1.0,5.0,6.0,0.0
11248010,8,2006,1.0,5.0,1.0,1.0,5.0,,,1.0,4.0,2.0,1.0,5.0,,,1.0,2.0,4.0,1.0,5.0,6.0,0.0
11253010,8,2006,,,,,,,,,,,,,,,,,,,,,
11256010,8,2006,5.0,,,,,,,1.0,6.0,0.0,3.0,3.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0
11256040,8,2006,5.0,,,,,,,1.0,6.0,0.0,3.0,3.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0
11277010,8,2006,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,5.0,1.0,3.0,3.0,,,5.0,6.0,0.0,,0.0,,0.0
11323010,8,2006,,,,,,,,,,,,,,,,,,,,,
11332010,8,2006,,,,,,,,,,,,,,,,,,,,,
11332020,8,2006,,,,,,,,,,,,,,,,,,,,,
11333020,8,2006,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,3.0,3.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0
11333030,8,2006,1.0,1.0,5.0,2.0,4.0,6.0,0.0,1.0,1.0,5.0,2.0,4.0,6.0,0.0,1.0,1.0,5.0,3.0,3.0,6.0,0.0
11341010,8,2006,1.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,6.0,0.0,6.0,0.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0
11345010,8,2006,,,,,,,,,,,,,,,,,,,,,
11345020,8,2006,,,,,,,,,,,,,,,,,,,,,
11347020,8,2006,1.0,3.0,3.0,3.0,3.0,6.0,0.0,1.0,4.0,2.0,3.0,3.0,6.0,0.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0
11347030,8,2006,1.0,3.0,3.0,3.0,3.0,6.0,0.0,1.0,4.0,2.0,4.0,2.0,6.0,0.0,1.0,3.0,3.0,3.0,3.0,6.0,0.0
11368010,8,2006,,,,,,,,,,,,,,,,,,,,,
11368020,8,2006,,,,,,,,,,,,,,,,,,,,,
11377010,8,2006,,,,,,,,,,,,,,,,,,,,,
11377040,8,2006,,,,,,,,,,,,,,,,,,,,,
11378010,8,2006,1.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,5.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,5.0,1.0
11378020,8,2006,1.0,1.0,5.0,2.0,4.0,4.0,2.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0
11379020,8,2006,1.0,5.0,1.0,3.0,3.0,5.0,1.0,5.0,,0.0,,0.0,,0.0,1.0,2.0,4.0,3.0,3.0,6.0,0.0
11387020,8,2006,,,,,,,,,,,,,,,1.0,4.0,2.0,3.0,3.0,6.0,0.0
11423010,8,2006,,,,,,,,,,,,,,,,,,,,,
11466040,8,2006,,,,,,,,,,,,,,,,,,,,,
11467010,8,2006,,,,,,,,,,,,,,,,,,,,,
11477010,8,2006,,,,,,,,,,,,,,,,,,,,,
11477011,8,2006,,,,,,,,,,,,,,,,,,,,,
11479010,8,2006,,,,,,,,,,,,,,,,,,,,,
11479040,8,2006,,,,,,,,,,,,,,,,,,,,,
11506010,8,2006,,,,,,,,,,,,,,,,,,,,,
11563010,8,2006,,,,,,,,,,,,,,,,,,,,,
11575010,8,2006,,,,,,,,,,,,,,,,,,,,,
11575020,8,2006,1.0,5.0,1.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,3.0,3.0,4.0,2.0,6.0,0.0
11582020,8,2006,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,,,1.0,3.0,3.0,2.0,4.0,,
11590020,8,2006,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0
11608010,8,2006,1.0,3.0,3.0,1.0,5.0,,,1.0,4.0,2.0,1.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,5.0,,
11608040,8,2006,,3.0,3.0,1.0,5.0,,,1.0,5.0,1.0,5.0,1.0,,,1.0,5.0,1.0,5.0,1.0,,
11611010,8,2006,,,,,,,,,,,,,,,,,,,,,
11612010,8,2006,,,,,,,,,,,,,,,,,,,,,
11620010,8,2006,1.0,,,,,,,1.0,5.0,1.0,3.0,3.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0
11620040,8,2006,,,,,,,,1.0,3.0,3.0,1.0,5.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0
11626010,8,2006,,,,,,,,,,,,,,,,,,,,,
11626011,8,2006,,,,,,,,,,,,,,,,,,,,,
11656010,8,2006,,,,,,,,,,,,,,,,,,,,,
11667020,8,2006,,,,,,,,,,,,,,,,,,,,,
11667030,8,2006,,,,,,,,,,,,,,,,,,,,,
11671010,8,2006,,,,,,,,,,,,,,,,,,,,,
11671040,8,2006,,,,,,,,,,,,,,,,,,,,,
11678010,8,2006,1.0,2.0,4.0,1.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,,0.0,,0.0,,0.0
11678040,8,2006,,,,,,,,,,,,,,,,,,,,,
11678041,8,2006,,,,,,,,,,,,,,,,,,,,,
11690010,8,2006,,,,,,,,,,,,,,,,,,,,,
11694010,8,2006,,,,,,,,,,,,,,,,,,,,,
11694020,8,2006,,,,,,,,,,,,,,,,,,,,,
11716010,8,2006,,,,,,,,,,,,,,,,,,,,,
11765010,8,2006,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,5.0,6.0,0.0
11787010,8,2006,,,,,,,,,,,,,,,,,,,,,
11793010,8,2006,1.0,1.0,5.0,1.0,5.0,6.0,0.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0
11798010,8,2006,,,,,,,,,,,,,,,,,,,,,
11802010,8,2006,1.0,5.0,1.0,2.0,4.0,5.0,1.0,1.0,5.0,1.0,6.0,0.0,6.0,0.0,1.0,5.0,1.0,2.0,4.0,4.0,2.0
11825010,8,2006,,,,,,,,,,,,,,,,,,,,,
11825040,8,2006,,,,,,,,,,,,,,,,,,,,,
11841010,8,2006,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,6.0,0.0,3.0,3.0,6.0,0.0
11854010,8,2006,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0,1.0,1.0,5.0,1.0,5.0,6.0,0.0
11854020,8,2006,1.0,2.0,4.0,1.0,5.0,,,1.0,2.0,4.0,1.0,5.0,,,1.0,2.0,4.0,2.0,4.0,,
11856010,8,2006,1.0,2.0,4.0,2.0,4.0,6.0,0.0,5.0,2.0,0.0,2.0,0.0,6.0,0.0,1.0,6.0,0.0,2.0,4.0,3.0,3.0
11859010,8,2006,,,,,,,,,,,,,,,,,,,,,
11862020,8,2006,1.0,2.0,4.0,2.0,4.0,,,1.0,6.0,0.0,6.0,0.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,5.0,1.0
11862030,8,2006,,,,,,,,,,,,,,,,,,,,,
11876010,8,2006,1.0,1.0,5.0,1.0,5.0,,,1.0,3.0,3.0,1.0,5.0,,,1.0,1.0,5.0,1.0,5.0,,
11881010,8,2006,,,,,,,,,,,,,,,,,,,,,
11881011,8,2006,,,,,,,,,,,,,,,,,,,,,
11902030,8,2006,,,,,,,,,,,,,,,,,,,,,
11902031,8,2006,,,,,,,,,,,,,,,,,,,,,
11907010,8,2006,1.0,2.0,4.0,1.0,5.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
11907020,8,2006,1.0,2.0,4.0,1.0,5.0,6.0,0.0,1.0,3.0,3.0,3.0,3.0,6.0,0.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0
11911010,8,2006,,,,,,,,,,,,,,,,,,,,,
11911040,8,2006,,,,,,,,,,,,,,,,,,,,,
11932020,8,2006,,,,,,,,,,,,,,,,,,,,,
11932030,8,2006,,,,,,,,,,,,,,,,,,,,,
11933010,8,2006,,,,,,,,,,,,,,,,,,,,,
11936010,8,2006,,,,,,,,,,,,,,,,,,,,,
11936011,8,2006,,,,,,,,,,,,,,,,,,,,,
11937010,8,2006,1.0,4.0,2.0,3.0,3.0,6.0,0.0,1.0,,,,,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
11948020,8,2006,,,,,,,,,,,,,,,,,,,,,
11983040,8,2006,,,,,,,,,,,,,,,,,,,,,
11993010,8,2006,,,,,,,,,,,,,,,,,,,,,
11993020,8,2006,,,,,,,,,,,,,,,,,,,,,
11999010,8,2006,1.0,5.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,5.0,1.0,5.0,6.0,0.0,1.0,1.0,5.0,2.0,4.0,6.0,0.0
11999020,8,2006,1.0,5.0,1.0,1.0,5.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,1.0,5.0,1.0,5.0,6.0,0.0
12005010,8,2006,1.0,2.0,4.0,2.0,4.0,,,1.0,2.0,4.0,1.0,5.0,,,1.0,5.0,1.0,4.0,2.0,,
12005040,8,2006,1.0,1.0,5.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,1.0,5.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,6.0,0.0
12009010,8,2006,,,,,,,,,,,,,,,,,,,,,
12009040,8,2006,,,,,,,,,,,,,,,,,,,,,
12010010,8,2006,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,3.0,3.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0
12010020,8,2006,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0
12033010,8,2006,,,,,,,,,,,,,,,,,,,,,
12033011,8,2006,,,,,,,,,,,,,,,,,,,,,
12045010,8,2006,,,,,,,,,,,,,,,,,,,,,
12045011,8,2006,,,,,,,,,,,,,,,,,,,,,
12094010,8,2006,,,,,,,,,,,,,,,,,,,,,
12104010,8,2006,,,,,,,,,,,,,,,,,,,,,
12104020,8,2006,,,,,,,,,,,,,,,,,,,,,
12106010,8,2006,,,,,,,,,,,,,,,,,,,,,
12108010,8,2006,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0
12112030,8,2006,,,,,,,,,,,,,,,,,,,,,
12118030,8,2006,,,,,,,,,,,,,,,,,,,,,
12124020,8,2006,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
12124030,8,2006,1.0,2.0,4.0,1.0,5.0,6.0,0.0,1.0,4.0,2.0,3.0,3.0,,,1.0,4.0,2.0,1.0,5.0,,
12135020,8,2006,,,,,,,,,,,,,,,,,,,,,
12135030,8,2006,,,,,,,,,,,,,,,,,,,,,
12145010,8,2006,,,,,,,,,,,,,,,,,,,,,
12145020,8,2006,,,,,,,,,,,,,,,,,,,,,
12161010,8,2006,,,,,,,,,,,,,,,,,,,,,
12161020,8,2006,,,,,,,,,,,,,,,,,,,,,
12162010,8,2006,5.0,,,,,,,1.0,5.0,1.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0
12166010,8,2006,,,,,,,,,,,,,,,,,,,,,
12166040,8,2006,,,,,,,,,,,,,,,,,,,,,
12172010,8,2006,,,,,,,,,,,,,,,,,,,,,
12172020,8,2006,,,,,,,,,,,,,,,,,,,,,
12174040,8,2006,,,,,,,,,,,,,,,,,,,,,
12178010,8,2006,,,,,,,,,,,,,,,,,,,,,
12179010,8,2006,,,,,,,,,,,,,,,,,,,,,
12183010,8,2006,1.0,1.0,5.0,,,1.0,5.0,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,1.0,5.0,2.0,4.0,6.0,0.0
12195010,8,2006,,,,,,,,,,,,,,,,,,,,,
12196010,8,2006,,,,,,,,,,,,,,,,,,,,,
12196020,8,2006,,,,,,,,,,,,,,,,,,,,,
12218010,8,2006,,,,,,,,,,,,,,,,,,,,,
12218020,8,2006,,,,,,,,,,,,,,,,,,,,,
12223020,8,2006,,,,,,,,,,,,,,,,,,,,,
12232010,8,2006,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0
12232040,8,2006,1.0,6.0,0.0,3.0,3.0,6.0,0.0,1.0,,,,,,,,,,,,,
12235010,8,2006,1.0,5.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0
12235040,8,2006,1.0,5.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
12242010,8,2006,1.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
12242020,8,2006,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,1.0,5.0,1.0,5.0,6.0,0.0
12243020,8,2006,,,,,,,,,,,,,,,,,,,,,
12243030,8,2006,,,,,,,,,,,,,,,,,,,,,
12252020,8,2006,1.0,2.0,4.0,1.0,5.0,,,1.0,4.0,2.0,1.0,5.0,,,1.0,5.0,1.0,4.0,2.0,,
12273010,8,2006,,,,,,,,,,,,,,,,,,,,,
12273040,8,2006,,,,,,,,,,,,,,,,,,,,,
12274010,8,2006,,,,,,,,,,,,,,,,,,,,,
12274020,8,2006,,,,,,,,,,,,,,,,,,,,,
12276020,8,2006,,,,,,,,,,,,,,,,,,,,,
12276030,8,2006,,,,,,,,,,,,,,,,,,,,,
12280020,8,2006,,,,,,,,,,,,,,,,,,,,,
