section,contact_domain,cohort,contact_transition,loneliness_category,count,denominator,percent,notes
contact_transition_x_loneliness_category,Friends,A,Decreased contact (1→0),Loneliness increased,134,2891,4.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Maintained infrequent contact (0→0),Loneliness decreased,182,2891,6.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Maintained infrequent contact (0→0),Loneliness stable,233,2891,8.1,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Maintained infrequent contact (0→0),Loneliness increased,164,2891,5.7,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_distribution,Friends,B,Maintained frequent contact (1→1),,1496,2730,54.8,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Friends,B,Increased contact (0→1),,322,2730,11.8,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Friends,B,Decreased contact (1→0),,384,2730,14.1,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Friends,B,Maintained infrequent contact (0→0),,528,2730,19.3,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_x_loneliness_category,Friends,B,Maintained frequent contact (1→1),Loneliness decreased,322,2730,11.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Maintained frequent contact (1→1),Loneliness stable,759,2730,27.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Maintained frequent contact (1→1),Loneliness increased,415,2730,15.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Increased contact (0→1),Loneliness decreased,91,2730,3.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Increased contact (0→1),Loneliness stable,134,2730,4.9,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Increased contact (0→1),Loneliness increased,97,2730,3.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Decreased contact (1→0),Loneliness decreased,99,2730,3.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Decreased contact (1→0),Loneliness stable,176,2730,6.4,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Decreased contact (1→0),Loneliness increased,109,2730,4.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Maintained infrequent contact (0→0),Loneliness decreased,146,2730,5.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Maintained infrequent contact (0→0),Loneliness stable,232,2730,8.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,B,Maintained infrequent contact (0→0),Loneliness increased,150,2730,5.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_distribution,Other relatives,A,Maintained frequent contact (1→1),,1032,2890,35.7,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Other relatives,A,Increased contact (0→1),,475,2890,16.4,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Other relatives,A,Decreased contact (1→0),,441,2890,15.3,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Other relatives,A,Maintained infrequent contact (0→0),,942,2890,32.6,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_x_loneliness_category,Other relatives,A,Maintained frequent contact (1→1),Loneliness decreased,248,2890,8.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Maintained frequent contact (1→1),Loneliness stable,506,2890,17.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Maintained frequent contact (1→1),Loneliness increased,278,2890,9.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Increased contact (0→1),Loneliness decreased,142,2890,4.9,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Increased contact (0→1),Loneliness stable,203,2890,7.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Increased contact (0→1),Loneliness increased,130,2890,4.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Decreased contact (1→0),Loneliness decreased,105,2890,3.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Decreased contact (1→0),Loneliness stable,197,2890,6.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Decreased contact (1→0),Loneliness increased,139,2890,4.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Maintained infrequent contact (0→0),Loneliness decreased,259,2890,9.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Maintained infrequent contact (0→0),Loneliness stable,431,2890,14.9,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,A,Maintained infrequent contact (0→0),Loneliness increased,252,2890,8.7,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_distribution,Other relatives,B,Maintained frequent contact (1→1),,1035,2746,37.7,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Other relatives,B,Increased contact (0→1),,404,2746,14.7,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Other relatives,B,Decreased contact (1→0),,397,2746,14.5,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Other relatives,B,Maintained infrequent contact (0→0),,910,2746,33.1,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_x_loneliness_category,Other relatives,B,Maintained frequent contact (1→1),Loneliness decreased,253,2746,9.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Maintained frequent contact (1→1),Loneliness stable,499,2746,18.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Maintained frequent contact (1→1),Loneliness increased,283,2746,10.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Increased contact (0→1),Loneliness decreased,82,2746,3.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Increased contact (0→1),Loneliness stable,195,2746,7.1,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Increased contact (0→1),Loneliness increased,127,2746,4.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Decreased contact (1→0),Loneliness decreased,91,2746,3.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Decreased contact (1→0),Loneliness stable,191,2746,7.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Decreased contact (1→0),Loneliness increased,115,2746,4.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Maintained infrequent contact (0→0),Loneliness decreased,229,2746,8.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Maintained infrequent contact (0→0),Loneliness stable,424,2746,15.4,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Other relatives,B,Maintained infrequent contact (0→0),Loneliness increased,257,2746,9.4,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_distribution,Children,A,Maintained frequent contact (1→1),,1993,2690,74.1,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Children,A,Increased contact (0→1),,202,2690,7.5,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Children,A,Decreased contact (1→0),,242,2690,9.0,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Children,A,Maintained infrequent contact (0→0),,253,2690,9.4,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_x_loneliness_category,Children,A,Maintained frequent contact (1→1),Loneliness decreased,501,2690,18.6,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Maintained frequent contact (1→1),Loneliness stable,943,2690,35.1,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Maintained frequent contact (1→1),Loneliness increased,549,2690,20.4,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Increased contact (0→1),Loneliness decreased,53,2690,2.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Increased contact (0→1),Loneliness stable,91,2690,3.4,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Increased contact (0→1),Loneliness increased,58,2690,2.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Decreased contact (1→0),Loneliness decreased,68,2690,2.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Decreased contact (1→0),Loneliness stable,95,2690,3.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Decreased contact (1→0),Loneliness increased,79,2690,2.9,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Maintained infrequent contact (0→0),Loneliness decreased,73,2690,2.7,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Maintained infrequent contact (0→0),Loneliness stable,116,2690,4.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,A,Maintained infrequent contact (0→0),Loneliness increased,64,2690,2.4,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_distribution,Children,B,Maintained frequent contact (1→1),,1901,2527,75.2,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Children,B,Increased contact (0→1),,187,2527,7.4,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Children,B,Decreased contact (1→0),,207,2527,8.2,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Children,B,Maintained infrequent contact (0→0),,232,2527,9.2,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_x_loneliness_category,Children,B,Maintained frequent contact (1→1),Loneliness decreased,451,2527,17.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Maintained frequent contact (1→1),Loneliness stable,931,2527,36.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Maintained frequent contact (1→1),Loneliness increased,519,2527,20.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Increased contact (0→1),Loneliness decreased,50,2527,2.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Increased contact (0→1),Loneliness stable,75,2527,3.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Increased contact (0→1),Loneliness increased,62,2527,2.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Decreased contact (1→0),Loneliness decreased,50,2527,2.0,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Decreased contact (1→0),Loneliness stable,87,2527,3.4,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Decreased contact (1→0),Loneliness increased,70,2527,2.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Maintained infrequent contact (0→0),Loneliness decreased,56,2527,2.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Maintained infrequent contact (0→0),Loneliness stable,109,2527,4.3,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Children,B,Maintained infrequent contact (0→0),Loneliness increased,67,2527,2.7,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
