section,domain,cohort,statistic,count,denominator,percent,notes
contact_availability,children,A,valid_contact_T1_T2,3401,4272,79.6,
transition_distribution,children,A,maintained_frequent,2532,3401,74.4,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,A,increased_contact,253,3401,7.4,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,A,decreased_contact,290,3401,8.5,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,A,maintained_infrequent,326,3401,9.6,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
eligibility,children,A,eligible_contact_model,2465,4272,57.7,Requires eligible_basic_analysis=1 and valid T1/T2 contact for this domain.
contact_availability,children,B,valid_contact_T1_T2,3095,3769,82.1,
transition_distribution,children,B,maintained_frequent,2323,3095,75.1,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,B,increased_contact,230,3095,7.4,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,B,decreased_contact,257,3095,8.3,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,B,maintained_infrequent,285,3095,9.2,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
eligibility,children,B,eligible_contact_model,2254,3769,59.8,Requires eligible_basic_analysis=1 and valid T1/T2 contact for this domain.
contact_availability,children,Combined,valid_contact_T1_T2,6496,8041,80.8,
transition_distribution,children,Combined,maintained_frequent,4855,6496,74.7,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,Combined,increased_contact,483,6496,7.4,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,Combined,decreased_contact,547,6496,8.4,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
transition_distribution,children,Combined,maintained_infrequent,611,6496,9.4,Transition denominator = participants with valid 0/1 contact at both T1 and T2.
eligibility,children,Combined,eligible_contact_model,4719,8041,58.7,Requires eligible_basic_analysis=1 and valid T1/T2 contact for this domain.
child_null_validation,children,Combined,invalid_or_null_child_contact_with_transition,0,8041,0.0,Must be 0. Childless respondents remain in master and receive no transition.
child_null_validation,children,Combined,invalid_or_null_child_contact_marked_eligible,0,8041,0.0,Must be 0.
